,Type,Year Built,Parking Spaces,Area population,Median age,Total households,Median year built,Median household income,Bedrooms,Baths,Square Meters,Lot size (acres),Price
0,Residential,1987,2,73401,31.00,22240,1976,53254,3.0,2.0,117.24,0.13,225000
1,Residential,2021,3,28590,34.40,8934,2002,108767,4.0,3.0,,0.28,519900
2,Residential,1998,2,45763,34.30,14551,1998,95293,4.0,4.0,337.98,0.31,675000
3,Residential,2005,3,28590,34.40,8934,2002,108767,4.0,3.0,312.89,0.39,675000
4,Residential,1935,2,59378,31.80,21718,1976,50742,4.0,3.0,312.43,1.34,500000
5,Residential,2014,3,28590,34.40,8934,2002,108767,4.0,3.0,235.51,0.25,425000
6,Residential,1992,2,60238,33.80,19560,2000,97311,3.0,3.0,156.91,0.12,315000
7,Residential,1956,1,59378,31.80,21718,1976,50742,3.0,1.0,,0.14,179000
8,Residential,2003,2,73401,31.00,22240,1976,53254,7.0,5.0,380.81,0.17,471900
9,Residential,2006,3,60238,33.80,19560,2000,97311,4.0,3.0,276.2,0.31,599999
10,Residential,1956,2,38725,27.10,10844,1958,31454,3.0,2.0,117.43,0.14,215000
11,Residential,2002,2,53702,34.60,19454,1976,43659,3.0,2.0,204.66,0.16,350000
12,Residential,1964,3,36964,40.70,16647,1968,127658,5.0,4.0,337.89,0.188,2695000
13,Residential,1990,2,8993,49.00,3276,1970,210833,3.0,3.0,227.8,0.171,1799995
14,Residential,2008,2,8993,49.00,3276,1970,210833,3.0,4.0,357.67,0.743,5295000
15,Residential,1962,10,36964,40.70,16647,1968,127658,6.0,11.0,1633.5,1.251,3900000
16,Residential,1964,2,36964,40.70,16647,1968,127658,4.0,3.0,280.1,0.415,3495000
17,Residential,1953,2,8993,49.00,3276,1970,210833,3.0,3.0,218.69,0.326,2400000
18,Residential,2009,8,8993,49.00,3276,1970,210833,8.0,12.0,1545.34,0.569,13995000
19,Residential,1982,6,36964,40.70,16647,1968,127658,7.0,9.0,829.71,1.591,7495000
20,Residential,1961,6,8993,49.00,3276,1970,210833,5.0,6.0,675.21,0.584,10375000
21,Residential,2018,12,8993,49.00,3276,1970,210833,5.0,9.0,1341.32,0.97,33750000
22,Residential,2003,8,8993,49.00,3276,1970,210833,4.0,5.0,506.22,0.62,5950000
23,Residential,1952,4,8993,49.00,3276,1970,210833,4.0,3.0,288.55,0.346,2995000
24,Residential,1975,2,8993,49.00,3276,1970,210833,2.0,2.0,124.77,2.986,895000
25,Residential,2013,10,8993,49.00,3276,1970,210833,8.0,15.0,1606.93,,23750000
26,Residential,1974,10,36964,40.70,16647,1968,127658,5.0,6.0,411.19,0.697,3875000
27,Residential,1953,2,8993,49.00,3276,1970,210833,3.0,3.0,214.88,0.309,2100000
28,Residential,2007,2,8993,49.00,3276,1970,210833,5.0,8.0,492.29,,3888000
29,Residential,1935,9,8993,49.00,3276,1970,210833,5.0,5.0,372.63,0.451,4950000
30,Residential,1987,6,19909,48.10,8036,1962,143542,7.0,8.0,708.19,0.334,10895000
31,Residential,1930,4,19909,48.10,8036,1962,143542,7.0,9.0,962.47,0.532,17800000
32,Residential,2008,3,7969,41.70,3805,1952,82212,6.0,7.0,611.11,0.149,4599000
33,Residential,1938,2,19909,48.10,8036,1962,143542,4.0,4.0,254.27,0.347,3995000
34,Residential,2015,6,19909,48.10,8036,1962,143542,7.0,9.0,743.22,,16000000
35,Residential,1931,3,13156,42.40,5934,1945,93846,4.0,3.0,300.35,0.138,2995000
36,Residential,1975,2,13156,42.40,5934,1945,93846,2.0,3.0,219.71,1.259,2689000
37,Residential,1985,3,13156,42.40,5934,1945,93846,2.0,3.0,168.15,0.744,1299000
38,Residential,2015,3,13156,42.40,5934,1945,93846,4.0,5.0,297.47,,2790000
39,Residential,1954,4,19909,48.10,8036,1962,143542,6.0,8.0,591.32,0.899,15495000
40,Residential,2017,10,19909,48.10,8036,1962,143542,5.0,7.0,836.12,0.327,17999000
41,Residential,1964,2,19909,48.10,8036,1962,143542,2.0,2.0,107.4,0.217,785000
42,Residential,1975,2,13156,42.40,5934,1945,93846,2.0,3.0,215.53,1.259,1999000
43,Residential,1924,4,7969,41.70,3805,1952,82212,3.0,3.0,209.03,0.138,2495000
44,MultiFamily,1955,6,13156,42.40,5934,1945,93846,,,,0.139,3995000
45,Residential,2020,4,7969,41.70,3805,1952,82212,6.0,7.0,550.63,0.138,5997000
46,Residential,1938,2,7969,41.70,3805,1952,82212,4.0,5.0,264.77,,2995000
47,Residential,1988,4,53072,33.10,14756,2002,96617,2.0,2.0,94.02,0.1,575000
48,Residential,2006,5,31740,32.70,8255,2003,112083,4.0,4.0,272.02,0.13,820000
49,Residential,2011,2,31740,32.70,8255,2003,112083,3.0,3.0,160.26,14.198,600000
50,Residential,2004,3,53072,33.10,14756,2002,96617,3.0,3.0,139.35,1.89,539900
51,Residential,2005,5,31740,32.70,8255,2003,112083,4.0,4.0,222.97,,749000
52,Residential,1987,2,74297,37.60,24999,1972,61922,2.0,2.0,104.52,,369900
53,Residential,1973,2,74297,37.60,24999,1972,61922,3.0,2.0,102.19,,95000
54,Residential,2003,2,53072,33.10,14756,2002,96617,3.0,3.0,163.14,0.07,639900
55,Residential,2015,2,53072,33.10,14756,2002,96617,3.0,4.0,179.12,,519000
56,Residential,1959,6,85365,34.60,24928,1970,58598,3.0,2.0,171.96,,625000
57,Residential,1991,2,74297,37.60,24999,1972,61922,4.0,3.0,207.64,0.126,725000
58,Residential,1993,4,31740,32.70,8255,2003,112083,3.0,3.0,148.64,2.91,565000
59,Residential,1948,1,6402,51.80,2810,1971,97976,2.0,2.0,83.98,0.146,4800000
60,Residential,2004,4,26744,48.20,11439,1979,100243,4.0,5.0,432.27,0.201,3099900
61,Residential,1982,4,26744,48.20,11439,1979,100243,6.0,5.0,603.86,,5500000
62,Residential,1955,2,26744,48.20,11439,1979,100243,2.0,2.0,74.32,0.061,1078000
63,Residential,1978,2,26744,48.20,11439,1979,100243,4.0,3.0,231.88,0.145,1399000
64,Residential,1977,2,6402,51.80,2810,1971,97976,3.0,3.0,155.43,,799000
65,Residential,1970,5,6402,51.80,2810,1971,97976,4.0,4.0,219.99,0.143,1499000
66,Residential,1982,1,26744,48.20,11439,1979,100243,2.0,2.0,93.83,,725000
67,Residential,1977,3,26744,48.20,11439,1979,100243,5.0,5.0,348.66,0.208,2295000
68,Residential,2019,2,6402,51.80,2810,1971,97976,3.0,2.0,145.48,,178888
69,MultiFamily,1956,2,6402,51.80,2810,1971,97976,2.0,2.0,,0.14,1499000
70,Residential,1977,2,26744,48.20,11439,1979,100243,2.0,2.0,84.54,,580000
71,Residential,1964,4,26744,48.20,11439,1979,100243,3.0,3.0,230.86,0.283,5500000
72,Residential,1971,2,26744,48.20,11439,1979,100243,2.0,2.0,139.35,0.092,3895000
73,Residential,1989,2,26744,48.20,11439,1979,100243,3.0,4.0,314.1,0.342,2245000
74,Residential,1964,4,26744,48.20,11439,1979,100243,4.0,3.0,188.13,0.157,1199000
75,Residential,1974,1,26744,48.20,11439,1979,100243,2.0,2.0,83.61,,550000
76,Residential,1997,2,26744,48.20,11439,1979,100243,3.0,3.0,213.02,0.094,1295000
77,Residential,1986,2,26744,48.20,11439,1979,100243,3.0,3.0,181.62,0.096,1198000
78,Residential,2001,2,6402,51.80,2810,1971,97976,4.0,4.0,374.02,0.168,1799900
79,Residential,1972,3,26744,48.20,11439,1979,100243,4.0,3.0,219.99,0.356,2080000
80,Residential,1955,2,29294,35.90,11302,1960,56769,3.0,3.0,135.54,0.22,350000
81,Residential,2015,2,82920,30.20,24224,1980,54491,4.0,2.0,227.33,0.24,399900
82,Residential,1968,1,40936,28.70,11087,1967,30433,5.0,2.0,125.6,0.14,175000
